Date,Open,High,Low,Close,Volume,Currency,Trend,VolumeTrend,AAL,AAPL,AMT,AVY,AWK,BA,BAC,CCL,CNP,EQR,F,FOX,HFC,JNJ,MSFT,NFLX,PFE,PKG,PM,S&P500,WFC,WMT,XOM
2020-02-26,24.5,24.75,24.04,24.08,5898577,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,24.11,25.33,23.6,24.16,12105527,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,23.74,23.79,22.48,23.02,12507089,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,23.08,23.75,22.79,23.75,7324576,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,23.64,24.18,22.8,23.1,10594041,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,23.27,23.95,22.96,23.82,6441580,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,23.43,23.47,22.49,22.67,9387450,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,22.0,22.11,20.93,21.55,11016933,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,20.64,21.55,17.16,18.03,11313732,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,18.63,18.81,17.42,18.71,14277218,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,18.12,18.25,16.96,17.66,16348938,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,16.34,16.4,14.63,14.87,13138119,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,15.57,15.73,14.0,15.55,11802129,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,14.21,14.45,12.35,12.48,12262417,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-17,12.75,14.66,12.21,14.65,12252316,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-18,13.63,13.63,11.67,12.47,9909666,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-19,12.49,12.74,11.59,12.23,6883796,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-20,12.49,13.73,11.68,12.48,16152247,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,12.37,12.86,11.93,12.1,7791015,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,13.08,13.87,12.91,13.63,6956767,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,14.0,15.74,13.08,15.13,10463367,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-26,15.09,16.22,15.04,15.89,9138008,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-27,15.15,17.02,15.09,16.3,9872319,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,16.4,16.55,15.52,16.23,7026604,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,16.07,16.22,15.34,15.45,8538189,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,14.45,14.58,13.65,14.12,9715373,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,13.81,14.7,13.58,14.13,18760792,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,13.98,14.17,13.06,13.44,18401710,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,14.02,15.47,13.85,15.3,8633777,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,16.46,16.65,15.39,15.47,10940913,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,15.7,16.9,15.43,16.82,7016398,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,17.2,18.24,17.2,17.81,10495753,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,17.88,17.92,16.75,16.89,6616241,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,17.25,17.45,16.8,17.0,5513658,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,16.24,16.4,15.73,15.87,8433517,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,15.9,16.13,15.46,15.79,5809475,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,16.33,16.9,16.25,16.53,7588246,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,15.95,16.35,15.62,15.75,6976788,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,15.29,15.8,15.18,15.51,5108866,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,15.89,16.4,15.31,16.19,5985898,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,16.25,16.7,16.21,16.42,7125196,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,16.52,16.78,16.16,16.68,5995572,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,16.78,17.4,16.71,17.32,5612726,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,17.78,18.13,17.27,17.41,5047978,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,18.03,18.18,17.58,17.69,4675194,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,17.51,17.53,16.77,17.03,6477489,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,16.68,16.73,16.17,16.46,3554063,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,16.27,16.39,15.75,16.36,4730445,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,16.6,16.8,16.33,16.39,3896801,USD,Negative,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,16.5,16.56,15.93,15.98,6115711,USD,Negative,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,17.58,19.12,17.53,17.81,27800324,USD,Positive,Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,18.09,18.68,18.09,18.59,17847660,USD,Positive,Negative,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
